parcel_id,zona_provincia,tipo_olivar,riego,superficie_ha,variedad,estado_fenologico,tipo_suelo,drenaje,pendiente_%,distancia_rio_m,altitud_m,rain_72h_mm,rain_7d_mm,temp_media_7d,humedad_suelo_%,profundidad_suelo_cm,materia_organica_%,rendimiento_esperado_kg_ha,precio_mercado_eur_kg,coste_variable_ha,duracion_encharcamiento_dias,pct_perdida_pred,impacto_eur_ha,impacto_total_parcela_eur
TEST_01,Jaén,Tradicional,Secano,12.5,Picual,Brotacion,Franco,Bueno,9.0,2200.0,520.0,10.0,22.0,16.5,28.1,98,1.6,5000,0.82,1150,0.0,0.0006322479978541212,2.592216791201897,32.402709890023715
TEST_02,Cadiz,Intensivo,Secano,17.8,Manzanilla,Engorde,Arenoso,Bueno,18.0,950.0,105.0,85.0,140.0,18.0,27.1,108,1.0,6100,0.77,1380,0.13,0.0,0.0,0.0
TEST_03,Granada,Tradicional,Secano,9.6,Picual,Floracion,Franco,Bueno,11.0,1800.0,680.0,105.0,175.0,15.2,28.2,92,1.7,5050,0.83,1240,1.0,0.0003261190589257945,1.3669280354874676,13.122509140679687
TEST_04,Córdoba,Intensivo,Riego,20.5,Hojiblanca,Cuajado,Franco-arcilloso,Malo,3.0,850.0,320.0,118.0,210.0,17.3,74.1,80,1.8,9600,0.8,1580,3.7,0.1353513994442767,1039.4987477320453,21309.72432850693
TEST_05,Sevilla,Intensivo,Riego,24.2,Manzanilla,Floracion,Limoso,Moderado,3.2,320.0,118.0,128.0,235.0,18.2,68.7,72,1.9,9950,0.77,1690,3.65,0.22336344898096194,1711.2990643676399,41413.43735769689
TEST_06,Córdoba,Tradicional,Secano,13.8,Picual,Cuajado,Franco-arcilloso,Moderado,2.8,420.0,290.0,145.0,265.0,17.0,68.5,70,1.5,5400,0.82,1270,3.97,0.19635234758716857,869.4481951159825,11998.385092600558
TEST_07,Málaga,Superintensivo,Riego,29.0,Arbequina,Floracion,Franco,Moderado,1.5,500.0,250.0,155.0,270.0,18.6,66.9,86,1.5,10800,0.88,1830,3.64,0.28487031049987155,2707.4074309907796,78514.81549873261
TEST_08,Córdoba,Tradicional,Secano,14.2,Picual,Cuajado,Arcilloso,Malo,1.8,140.0,275.0,210.0,330.0,17.1,76.7,58,1.5,5250,0.82,1290,5.03,0.3567885858970261,1535.9748622866973,21810.8430444711
TEST_09,Sevilla,Tradicional,Secano,11.5,Manzanilla,Cuajado,Limoso,Malo,1.3,170.0,92.0,165.0,340.0,18.8,75.0,63,1.7,4850,0.78,1210,4.65,0.28799151271918394,1089.471892616673,12528.926765091739
TEST_10,Granada,Intensivo,Riego,22.8,Picual,Cuajado,Arcilloso,Malo,1.0,90.0,410.0,260.0,380.0,16.8,76.9,54,1.4,9300,0.83,1710,5.17,0.46364599903444426,3578.883466546875,81598.54303726876
